"wind_speed","power"
"0.0","0.0"
"0.5","0.0"
"1.0","0.0"
"1.5","0.0"
"2.0","0.0"
"2.5","0.0"
"3.0","6.0681"
"3.5","52.0"
"4.0","126.4475"
"4.5","221.9997"
"5.0","335.9996"
"5.5","468.9999"
"6.0","624.2074"
"6.5","805.9909"
"7.0","1015.9888"
"7.5","1257.9986"
"8.0","1529.9967"
"8.5","1827.9936"
"9.0","2143.9909"
"9.5","2441.3517"
"10.0","2792.102"
"10.5","3065.788"
"11.0","3272.442"
"11.5","3421.82"
"12.0","3521.95"
"12.5","3579.132"
"13.0","3598.8521"
"13.5","3600.0"
"14.0","3600.0"
"14.5","3600.0"
"15.0","3600.0"
"15.5","3600.0"
"16.0","3600.0"
"16.5","3600.0"
"17.0","3600.0"
"17.5","3600.0"
"18.0","3600.0"
"18.5","3600.0"
"19.0","3600.0"
"19.5","3600.0"
"20.0","3600.0"
"20.5","3600.0"
"21.0","3600.0"
"21.5","3600.0"
"22.0","3600.0"
"22.5","3600.0"
"23.0","3600.0"
"23.5","3600.0"
"24.0","3600.0"
"24.5","3600.0"
"25.0","3600.0"
"26.0","0.0"
"27.0","0.0"
"28.0","0.0"
"29.0","0.0"
"30.0","0.0"
